Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-02-19,1723.0623779296875,1782.9461674934353,1711.4835864523488,1782.0415778600038,4408554
2019-02-20,1732.0628662109375,1749.2953415600434,1701.8043894900215,1732.2890136017472,4645778
2019-02-21,1731.5648193359375,1754.9032677882951,1716.0512009517638,1732.0623876276486,4683919
2019-02-22,1741.9229736328125,1745.8579162816939,1723.3336133081714,1734.2791253099974,2271955
2019-02-25,1795.74609375,1800.133331291808,1746.3102492757967,1748.1194285032254,2934880
2019-02-26,1844.186767578125,1850.0214367339831,1784.0768330156884,1794.7057607824188,6453309
2019-02-27,1861.736083984375,1876.9782873813886,1829.080308631885,1845.3629226553142,4732082
2019-02-28,1794.2078857421875,1873.721430254354,1788.9160595877202,1863.4542517421075,8454295
2019-03-01,1805.017822265625,1813.7018589569748,1791.4037067858426,1804.7012380407848,4148548
2019-03-05,1798.41455078125,1815.511316202392,1788.0117704442657,1813.7021370133511,2449622
2019-03-06,1808.8167724609375,1822.7474699987297,1795.6550641798112,1799.4995687691385,2635047
2019-03-07,1821.2103271484375,1830.9346655689533,1809.3601147808859,1813.7021891287636,2539884
2019-03-08,1829.7130126953125,1839.0303280792866,1818.270044639534,1831.793612572826,2031071
2019-03-11,1822.5672607421875,1839.0307481102063,1812.481064116688,1835.3219526507671,3111689
2019-03-12,1820.441162109375,1831.6129311843852,1811.8928351891514,1821.888593701468,2658550
2019-03-13,1809.6312255859375,1823.5619254382111,1789.820694208391,1820.9385939037702,1833163
2019-03-14,1797.7813720703125,1816.2350217789028,1791.991976613407,1813.6568531102685,1905495
2019-03-15,1845.3173828125,1871.5504793994141,1801.037769122275,1808.1840485530709,5184318
2019-03-18,1829.803955078125,1867.6158459333149,1819.129753231864,1848.0766215080548,2349915
2019-03-19,1829.803955078125,1836.3169562708522,1804.746755972424,1836.3169562708522,2373993
2019-03-20,1822.793212890625,1849.7047519439766,1809.1790960236356,1834.5076033679666,3091165
2019-03-22,1814.290283203125,1823.6527641486437,1794.0727262805308,1822.7481744838874,3148149
2019-03-25,1794.9317626953125,1816.2348901513421,1788.554362382774,1816.2348901513421,2429205
2019-03-26,1793.484130859375,1804.610513821183,1771.2312545122518,1794.7053044203224,2316539
